,date,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m
98,2025-07-04 02:00:00+05:30,8.099999,126.86999,14.275713,131.93344
99,2025-07-04 03:00:00+05:30,7.1684303,128.8845,12.750811,131.56627
100,2025-07-04 04:00:00+05:30,9.648067,126.656204,15.027575,133.05853
101,2025-07-04 05:00:00+05:30,9.659814,116.56499,15.385525,118.663864
102,2025-07-04 06:00:00+05:30,5.426933,84.2895,10.837435,94.76356
103,2025-07-04 07:00:00+05:30,8.209263,105.25517,11.39842,105.57261
104,2025-07-04 08:00:00+05:30,7.0407386,122.471176,9.485504,123.388535
105,2025-07-04 09:00:00+05:30,8.863972,119.16752,11.609651,119.74479
106,2025-07-04 10:00:00+05:30,8.0599,113.70266,10.472536,114.36244
107,2025-07-04 11:00:00+05:30,7.172949,107.52566,9.335737,109.133736
108,2025-07-04 12:00:00+05:30,6.1305785,130.23628,7.519175,132.0891
109,2025-07-04 13:00:00+05:30,6.444905,125.90981,7.7420926,125.537766
110,2025-07-04 14:00:00+05:30,9.9408245,148.32457,13.060857,150.25522
111,2025-07-04 15:00:00+05:30,10.210936,130.71075,13.755579,132.87889
112,2025-07-04 16:00:00+05:30,9.997699,156.66594,15.042659,158.96242
113,2025-07-04 17:00:00+05:30,8.242743,148.39255,12.904882,149.8587
114,2025-07-04 18:00:00+05:30,9.224011,174.40076,16.63905,174.41284
115,2025-07-04 19:00:00+05:30,9.511088,209.4758,16.767075,209.5922
116,2025-07-04 20:00:00+05:30,3.536439,165.2564,7.731622,192.09474
117,2025-07-04 21:00:00+05:30,5.3939967,115.70991,10.694485,133.63614
118,2025-07-04 22:00:00+05:30,4.4274144,116.56499,10.626099,128.8114
119,2025-07-04 23:00:00+05:30,4.2021427,136.73567,10.560341,150.37634
120,2025-07-05 00:00:00+05:30,7.6388745,145.56096,14.654254,152.176
121,2025-07-05 01:00:00+05:30,9.587428,140.3322,16.886454,144.10724
122,2025-07-05 02:00:00+05:30,8.604301,142.65057,15.83693,148.47787
123,2025-07-05 03:00:00+05:30,9.67657,136.50739,17.682194,141.61343
124,2025-07-05 04:00:00+05:30,9.97986,140.85602,17.725203,145.34158
125,2025-07-05 05:00:00+05:30,10.656547,142.54935,18.226276,145.05426
126,2025-07-05 06:00:00+05:30,8.187527,123.34073,13.479583,124.11452
127,2025-07-05 07:00:00+05:30,9.187056,124.62422,13.036026,125.44579
128,2025-07-05 08:00:00+05:30,9.1641035,135.0001,12.473363,135.0001
129,2025-07-05 09:00:00+05:30,10.8792095,128.95592,14.477417,128.43733
130,2025-07-05 10:00:00+05:30,11.738705,125.6399,15.589497,126.0761
131,2025-07-05 11:00:00+05:30,9.867218,128.33337,13.044722,129.40063
132,2025-07-05 12:00:00+05:30,9.044888,137.41954,11.734564,138.73149
133,2025-07-05 13:00:00+05:30,7.7879906,123.6901,9.5416975,125.78906
134,2025-07-05 14:00:00+05:30,5.8104043,106.18928,7.4672885,105.376305
135,2025-07-05 15:00:00+05:30,8.626865,113.35559,10.966713,113.19862
136,2025-07-05 16:00:00+05:30,11.276968,118.61037,15.617529,115.97434
137,2025-07-05 17:00:00+05:30,6.1305785,130.23628,9.313152,131.08165
138,2025-07-05 18:00:00+05:30,7.342588,168.69011,13.091829,161.56496
139,2025-07-05 19:00:00+05:30,2.5582807,140.71062,7.406295,154.05775
140,2025-07-05 20:00:00+05:30,5.7599998,90.0,11.700001,104.25006
141,2025-07-05 21:00:00+05:30,8.827343,73.41259,17.727943,77.09259
142,2025-07-05 22:00:00+05:30,9.505977,71.22187,18.68622,76.63306
